id,producto_id,tipo,cantidad,fecha,usuario_id
1,63,entrada,62,2024-12-10 23:06:28,14
2,141,entrada,50,2023-11-09 05:46:35,32
3,3,salida,98,2024-03-09 16:47:14,24
4,29,entrada,76,2023-06-10 09:01:34,29
5,101,salida,63,2023-05-25 17:50:06,7
6,4,salida,40,2023-10-25 21:49:57,6
7,136,salida,8,2024-12-18 04:39:27,18
8,91,salida,32,2023-09-03 01:51:45,40
9,107,entrada,31,2025-01-23 00:50:50,15
10,86,salida,72,2024-08-21 14:38:15,18
11,55,entrada,44,2023-10-13 21:35:22,25
12,62,entrada,87,2025-02-12 22:21:18,35
13,156,entrada,79,2024-01-08 12:15:19,21
14,132,entrada,57,2024-07-21 14:39:50,28
15,108,entrada,36,2025-01-04 09:59:22,49
16,59,salida,14,2025-05-04 01:14:23,14
17,84,salida,10,2024-02-11 16:40:50,43
18,63,entrada,27,2023-10-11 21:08:46,6
19,95,entrada,2,2025-02-20 14:26:32,35
20,24,salida,61,2023-08-11 15:45:17,16
21,148,entrada,36,2025-04-04 10:36:49,14
22,35,salida,85,2024-05-23 03:21:10,15
23,125,entrada,19,2023-07-21 20:14:18,23
24,142,entrada,29,2023-11-10 09:55:32,42
25,19,entrada,16,2024-03-29 19:05:53,50
26,41,entrada,73,2024-02-27 23:45:22,8
27,73,entrada,38,2024-06-22 19:03:45,36
28,58,salida,88,2024-10-23 01:57:10,47
29,98,entrada,75,2023-10-31 08:03:56,44
30,110,entrada,61,2024-08-12 16:25:26,8
31,38,salida,15,2025-01-22 19:32:11,2
32,82,salida,52,2023-08-08 21:50:45,2
33,24,salida,37,2024-01-02 19:58:07,50
34,51,entrada,35,2023-09-26 02:37:53,15
35,1,salida,90,2023-06-24 02:37:55,16
36,4,salida,18,2024-12-29 16:46:18,17
37,106,entrada,69,2023-11-06 05:21:19,19
38,31,entrada,49,2023-08-25 23:53:11,26
39,108,salida,24,2024-04-26 04:39:21,8
40,51,entrada,11,2024-03-22 18:14:35,1
41,75,entrada,1,2024-10-08 11:01:35,48
42,10,entrada,70,2024-02-16 17:54:34,9
43,157,salida,39,2024-01-05 09:03:29,21
44,115,entrada,36,2025-03-31 12:00:02,3
45,115,salida,84,2025-03-03 02:30:56,24
46,117,entrada,95,2023-07-04 12:12:41,33
47,150,salida,2,2024-07-14 05:33:29,19
48,38,entrada,80,2025-03-23 22:28:45,21
49,119,salida,87,2023-09-15 13:55:30,1
50,4,salida,72,2024-05-24 02:32:59,6
51,10,entrada,96,2025-02-20 01:01:00,39
52,133,salida,65,2024-10-30 11:46:57,5
53,130,salida,75,2025-02-06 12:30:02,1
54,85,entrada,49,2023-10-30 23:57:50,50
55,89,entrada,21,2023-06-07 10:03:15,19
56,60,salida,54,2023-10-03 23:58:28,15
57,110,salida,74,2024-07-29 16:46:29,32
58,150,salida,57,2024-07-18 22:36:28,40
59,24,salida,89,2024-08-10 04:45:30,36
60,105,salida,24,2024-04-05 19:34:59,13
61,158,salida,84,2023-06-29 07:08:09,19
62,48,salida,70,2023-12-03 06:59:16,39
63,74,salida,41,2023-11-15 01:40:03,9
64,32,salida,14,2024-01-03 10:15:26,23
65,145,salida,10,2023-10-06 12:54:16,50
66,115,entrada,55,2024-12-01 22:07:34,5
67,89,entrada,54,2023-08-08 05:46:47,3
68,68,entrada,65,2025-05-02 13:27:52,44
69,32,salida,79,2024-12-06 06:48:18,13
70,143,entrada,9,2023-08-19 08:44:14,14
71,75,salida,34,2024-05-18 20:52:09,48
72,156,salida,82,2023-06-28 18:06:50,8
73,105,entrada,74,2024-01-02 07:40:43,20
74,35,salida,74,2024-01-22 18:19:09,19
75,117,salida,88,2023-07-26 14:50:41,37
76,131,entrada,97,2024-11-03 02:35:01,26
77,61,salida,44,2023-10-27 16:14:36,11
78,82,salida,66,2023-06-13 12:35:25,27
79,84,entrada,24,2024-02-07 05:47:03,3
80,24,salida,84,2024-01-02 13:17:58,10
81,151,entrada,80,2023-09-06 12:15:47,17
82,21,salida,51,2024-02-02 12:21:06,48
83,151,salida,50,2023-07-12 15:34:00,35
84,5,entrada,70,2024-04-19 21:45:17,38
85,26,entrada,3,2024-01-26 20:55:02,46
86,160,salida,40,2025-04-29 09:19:19,44
87,25,salida,31,2023-08-20 11:27:30,10
88,7,salida,73,2023-06-24 13:03:07,11
89,69,salida,1,2024-06-11 05:23:43,13
90,58,salida,48,2024-01-20 12:16:15,3
91,103,entrada,71,2025-02-20 18:33:48,28
92,89,entrada,29,2025-01-14 08:37:43,37
93,146,entrada,3,2024-07-09 04:33:53,13
94,70,entrada,38,2025-01-06 18:47:40,39
95,15,salida,99,2023-07-22 09:30:23,31
96,96,entrada,43,2024-06-30 19:36:17,15
97,82,salida,95,2025-01-14 17:10:30,18
98,127,entrada,77,2025-04-07 09:57:53,15
99,95,salida,4,2023-08-04 16:21:43,27
100,56,salida,24,2024-02-06 11:43:06,4
101,17,salida,69,2024-04-03 17:38:42,27
102,156,salida,100,2024-10-26 14:28:44,18
103,135,entrada,78,2025-01-28 00:46:13,9
104,115,salida,89,2024-01-05 08:45:51,4
105,125,salida,61,2023-10-02 10:55:59,31
106,92,entrada,50,2024-10-02 01:54:58,43
107,67,entrada,79,2023-06-28 15:57:28,19
108,160,entrada,1,2024-10-25 16:57:36,45
109,93,salida,16,2025-04-16 03:30:13,28
110,49,salida,10,2023-12-23 05:41:01,8
111,8,entrada,45,2024-12-17 00:03:11,8
112,70,salida,30,2023-10-16 12:14:11,14
113,99,salida,36,2024-03-20 04:10:42,46
114,45,salida,58,2024-06-09 21:39:13,21
115,158,salida,40,2023-10-28 08:56:55,3
116,59,entrada,84,2023-09-08 16:15:16,36
117,39,salida,36,2023-07-07 11:50:52,21
118,54,entrada,86,2023-12-17 21:39:52,26
119,23,entrada,40,2024-07-05 20:54:38,43
120,59,entrada,57,2024-12-05 14:15:45,13
121,152,salida,73,2024-06-11 00:28:53,43
122,54,salida,91,2025-01-25 20:28:10,20
123,57,entrada,73,2024-09-30 22:47:52,25
124,58,entrada,37,2023-08-01 20:30:11,38
125,57,entrada,69,2023-05-07 11:51:29,40
126,112,salida,70,2023-06-13 14:54:28,26
127,75,entrada,50,2024-05-17 05:45:39,38
128,117,salida,43,2024-02-26 16:57:44,19
129,131,entrada,69,2024-05-30 13:53:49,35
130,151,salida,29,2023-09-19 17:04:44,17
131,53,entrada,23,2024-07-02 06:53:54,32
132,105,salida,83,2025-03-17 05:42:25,50
133,147,entrada,98,2023-09-27 15:42:34,2
134,109,entrada,41,2024-05-12 04:16:04,48
135,141,entrada,45,2024-09-12 17:16:05,50
136,23,entrada,66,2024-04-24 02:13:41,34
137,157,salida,17,2023-07-28 00:38:57,44
138,93,entrada,56,2024-09-03 08:18:29,26
139,129,salida,82,2024-01-09 00:52:18,22
140,4,entrada,87,2024-02-14 15:12:24,25
141,21,entrada,70,2024-09-27 21:23:13,35
142,95,salida,72,2023-12-07 07:16:37,19
143,58,entrada,77,2024-05-10 08:01:16,36
144,87,entrada,62,2023-11-19 14:13:58,13
145,45,salida,43,2024-10-26 13:31:25,45
146,82,salida,8,2024-02-24 02:43:24,4
147,33,salida,85,2024-12-08 02:14:40,42
148,76,salida,35,2024-10-17 12:23:21,47
149,156,entrada,36,2024-04-17 09:22:48,8
150,42,entrada,32,2023-11-13 19:46:47,17
151,66,salida,33,2024-05-06 15:42:40,15
152,128,entrada,17,2025-03-24 23:47:33,9
153,136,entrada,33,2024-07-07 01:06:13,43
154,11,entrada,3,2024-04-20 23:04:04,3
155,51,salida,89,2024-03-31 06:37:48,20
156,34,salida,24,2025-03-04 09:31:31,39
157,17,salida,90,2023-09-29 18:46:40,1
158,43,salida,45,2023-08-18 23:18:47,50
159,45,salida,85,2023-08-03 19:07:23,16
160,81,salida,11,2024-03-21 03:12:26,18
161,146,entrada,19,2023-08-01 09:16:55,34
162,70,entrada,83,2023-06-18 20:45:04,40
163,35,salida,27,2024-08-01 01:30:53,17
164,9,salida,95,2023-10-17 06:13:26,24
165,115,entrada,47,2023-08-08 13:09:31,25
166,136,salida,66,2024-07-30 19:23:26,6
167,96,entrada,66,2023-08-27 09:03:36,27
168,10,entrada,97,2023-09-05 09:20:52,12
169,134,entrada,62,2024-09-25 04:30:39,11
170,2,entrada,80,2024-10-15 00:27:43,10
171,133,salida,35,2023-07-04 04:13:12,1
172,60,salida,49,2025-01-22 20:55:55,22
173,32,entrada,71,2023-10-04 21:55:37,2
174,76,entrada,99,2025-03-26 15:30:56,47
175,132,entrada,83,2025-04-03 20:48:16,47
176,119,entrada,84,2024-02-25 11:59:04,22
177,23,salida,64,2025-02-21 05:33:05,36
178,68,entrada,8,2024-11-22 08:47:20,19
179,151,entrada,54,2024-09-06 12:14:48,2
180,86,salida,87,2024-12-18 17:56:31,27
181,156,salida,22,2025-04-15 04:36:54,45
182,32,entrada,37,2024-06-16 15:18:30,25
183,110,salida,66,2024-12-16 19:33:43,25
184,125,entrada,32,2023-09-16 06:36:29,26
185,16,entrada,18,2024-04-10 15:10:47,33
186,7,salida,55,2025-04-02 03:25:00,37
187,108,entrada,63,2023-11-27 06:10:01,16
188,126,entrada,25,2024-10-02 07:48:54,10
189,147,entrada,92,2024-02-04 00:55:23,3
190,98,entrada,85,2024-11-07 06:29:08,17
191,32,salida,37,2024-11-01 09:49:02,28
192,65,entrada,66,2023-05-29 20:48:51,34
193,68,entrada,88,2024-12-29 10:23:39,37
194,43,salida,6,2024-06-16 17:26:58,23
195,102,entrada,59,2024-05-24 15:33:06,23
196,59,salida,14,2024-05-30 19:30:20,49
197,101,salida,62,2024-04-03 11:22:42,38
198,39,entrada,44,2025-03-24 12:11:28,5
199,135,entrada,80,2025-01-07 22:40:01,3
200,54,salida,56,2023-06-18 06:33:24,16
201,11,salida,20,2023-07-10 08:29:24,25
202,52,salida,17,2025-04-23 16:45:43,38
203,3,entrada,16,2024-03-06 09:10:35,2
204,38,salida,83,2025-03-01 07:41:01,34
205,127,entrada,21,2023-05-17 02:07:29,27
206,92,salida,27,2024-12-19 05:41:32,27
207,58,salida,20,2023-09-15 05:13:17,20
208,111,salida,25,2023-09-03 00:11:25,13
209,127,salida,47,2025-04-17 05:59:30,49
210,91,salida,25,2024-07-07 22:08:47,46
211,86,entrada,37,2024-10-09 09:02:59,22
212,78,salida,7,2023-06-20 17:17:53,27
213,66,salida,38,2024-11-23 02:01:07,25
214,2,salida,67,2023-05-31 14:09:02,32
215,99,entrada,45,2024-09-14 08:00:17,15
216,70,entrada,21,2024-07-13 00:39:01,17
217,9,salida,40,2025-03-18 15:47:42,33
218,136,salida,17,2024-08-01 20:01:05,16
219,64,salida,47,2023-07-18 11:44:31,46
220,61,entrada,81,2023-10-12 11:13:28,36
221,5,entrada,5,2024-01-17 22:19:04,47
222,69,salida,9,2025-02-17 14:11:49,35
223,156,entrada,82,2023-08-22 20:27:06,18
224,87,salida,46,2024-01-22 10:39:19,42
225,155,salida,8,2023-06-07 03:41:25,35
226,41,entrada,75,2023-09-24 19:15:59,9
227,74,entrada,7,2023-06-27 14:29:26,3
228,32,entrada,96,2023-11-13 00:35:58,35
229,134,entrada,31,2023-12-27 03:45:21,21
230,135,entrada,16,2025-04-25 21:31:28,20
231,15,salida,2,2023-10-11 23:48:45,4
232,51,salida,26,2023-06-15 00:34:07,43
233,92,salida,85,2023-10-17 02:23:07,10
234,129,salida,38,2023-07-17 18:26:15,31
235,54,entrada,54,2024-09-16 23:05:40,47
236,157,entrada,19,2024-03-04 19:52:15,38
